modelName,param,storyName,clipts,clipis,accss
StoryAdapter,id-1,ba_luoi_riu,"[0.3740234375, 0.318359375, 0.333740234375, 0.301513671875, 0.34033203125, 0.35400390625, 0.339111328125, 0.32861328125, 0.34375, 0.35986328125, 0.376708984375, 0.325927734375, 0.302734375]","[0.84619140625, 0.78125, 0.88720703125, 0.8720703125, 0.8701171875, 0.8671875, 0.86767578125, 0.82666015625, 0.84130859375, 0.80615234375, 0.76904296875, 0.87158203125, 0.80810546875]","{'woodcutter': 0.62158203125, 'old man (buddha)': 0.67578125}"
StoryAdapter,id-1,cau_be_thong_minh,"[0.296630859375, 0.228271484375, 0.265625, 0.330078125, 0.2281494140625, 0.2861328125, 0.309326171875, 0.346923828125, 0.298583984375, 0.2301025390625, 0.2381591796875, 0.272705078125, 0.314453125, 0.30419921875]","[0.82080078125, 0.75146484375, 0.71435546875, 0.63037109375, 0.67236328125, 0.70166015625, 0.7490234375, 0.84814453125, 0.669921875, 0.54248046875]","{'mandarin': 0, 'small boy': 0.68798828125, 'king': 0.6943359375, 'villagers': 0, 'father': 0, 'soldiers': 0, 'mandarins': 0, 'ant': 0}"
StoryAdapter,id-1,cau_be_tich_chu,"[0.298828125, 0.29296875, 0.31591796875, 0.3154296875, 0.358642578125, 0.379150390625, 0.33544921875, 0.35107421875, 0.2958984375, 0.382080078125, 0.309814453125, 0.32421875]","[0.81787109375, 0.83349609375, 0.76611328125, 0.876953125, 0.8623046875, 0.89111328125, 0.86279296875, 0.775390625, 0.76220703125]","{'grandmother': 0.69873046875, 'grandmother (bird)': 0.67138671875, 'boy': 0.7229817708333334, 'fairy': 0}"
StoryAdapter,id-1,cay_huyet_du,"[0.30615234375, 0.2359619140625, 0.20703125, 0.275634765625, 0.22265625, 0.2491455078125, 0.242431640625, 0.2384033203125, 0.2413330078125, 0.282958984375, 0.25732421875]","[0.94384765625, 0.7705078125, 0.85546875, 0.71435546875, 0.8134765625, 0.78369140625, 0.74609375]","{'butcher': 0.6697591145833334, 'monk': 0.73681640625, 'woman': 0, 'knife': 0}"
StoryAdapter,id-1,cay_khe,"[0.30322265625, 0.255615234375, 0.27783203125, 0.250244140625, 0.3173828125, 0.27783203125, 0.293212890625, 0.32421875, 0.3076171875, 0.326416015625, 0.362548828125, 0.34375, 0.282958984375, 0.315185546875, 0.290283203125, 0.286376953125, 0.29248046875]","[0.841796875, 0.7392578125, 0.83349609375, 0.85595703125, 0.70361328125, 0.78564453125, 0.69873046875, 0.86572265625, 0.62646484375, 0.68212890625, 0.76123046875, 0.81494140625]","{'older brother': 0.696533203125, 'younger brother': 0.65771484375, 'starfruit tree': 0, 'giant bird': 0.7144775390625, 'wife': 0.5244140625, 'wife (older)': 0}"
StoryAdapter,id-1,cay_tre_tram_dot,"[0.252197265625, 0.267578125, 0.264892578125, 0.307373046875, 0.26318359375, 0.28759765625, 0.2744140625, 0.2440185546875, 0.2489013671875, 0.27880859375, 0.279541015625, 0.25390625, 0.26611328125, 0.282470703125, 0.283447265625, 0.1783447265625, 0.25537109375, 0.23291015625, 0.28955078125, 0.279296875]","[0.53759765625, 0.72802734375, 0.62451171875, 0.75390625, 0.78515625, 0.78515625, 0.59521484375, 0.599609375, 0.69580078125, 0.78662109375, 0.63916015625, 0.56591796875, 0.64404296875, 0.57470703125, 0.58935546875, 0.583984375, 0.65576171875, 0.6943359375, 0.6640625, 0.6640625, 0.63720703125]","{'landowner': 0.72509765625, 'farmer': 0.6210561899038461, 'but': 0.70361328125, 'groom': 0, 'guests': 0, 'daughter': 0}"
StoryAdapter,id-1,chim_da_da,"[0.3369140625, 0.302490234375, 0.2423095703125, 0.330810546875, 0.1806640625, 0.232666015625, 0.263427734375, 0.307861328125, 0.316162109375, 0.34814453125, 0.26025390625, 0.379150390625, 0.342041015625, 0.24169921875, 0.26220703125, 0.345703125, 0.3212890625, 0.291748046875, 0.249267578125, 0.2342529296875, 0.34130859375, 0.312744140625]","[0.78857421875, 0.765625, 0.744140625, 0.8623046875, 0.7060546875, 0.88134765625, 0.73876953125, 0.72607421875, 0.703125, 0.76513671875, 0.7353515625, 0.72265625, 0.7421875, 0.724609375, 0.798828125, 0.734375, 0.58056640625]","{'boy': 0.71806640625, 'mother': 0.77587890625, 'stepfather': 0.55693359375, 'villagers': 0, 'woodcutters': 0}"
StoryAdapter,id-1,chim_hit_co,"[0.25390625, 0.2266845703125, 0.2432861328125, 0.267822265625, 0.23876953125, 0.3369140625, 0.270263671875, 0.305419921875, 0.2457275390625, 0.2744140625, 0.28173828125, 0.30078125, 0.2880859375, 0.170166015625, 0.30517578125]","[0.91943359375, 0.91943359375, 0.76513671875, 0.76513671875, 0.75732421875, 0.7666015625, 0.603515625, 0.75537109375, 0.73828125, 0.783203125, 0.8603515625, 0.65625, 0.72216796875, 0.71337890625]","{'aunt': 0.62958984375, 'nephew': 0, 'crowd': 0, 'bird': 0}"
StoryAdapter,id-1,chim_nam_trau_sau_cot_va_chim_bat_co_troi_cot,"[0.352783203125, 0.294921875, 0.317138671875, 0.3271484375, 0.2734375, 0.3310546875, 0.32470703125, 0.320556640625, 0.293212890625, 0.239501953125, 0.25341796875, 0.323486328125, 0.303955078125, 0.290283203125]","[0.8486328125, 0.75634765625, 0.71337890625, 0.70263671875, 0.640625, 0.80908203125, 0.60107421875, 0.599609375, 0.62353515625, 0.859375, 0.71240234375, 0.7509765625, 0.689453125]","{'muscular vietnamese farmer': 0.734375, 'daughter': 0.5982530381944444, 'muscular vietnamese farmer (bird)': 0, 'daughter (bird)': 0}"
StoryAdapter,id-1,chim_quoc,"[0.30908203125, 0.27783203125, 0.217529296875, 0.23681640625, 0.2203369140625, 0.263427734375, 0.2744140625, 0.239501953125, 0.272216796875, 0.2091064453125, 0.289306640625, 0.260986328125, 0.2451171875, 0.209228515625, 0.2252197265625, 0.31884765625, 0.31640625, 0.235595703125]","[0.73388671875, 0.779296875, 0.78271484375, 0.78271484375, 0.845703125, 0.79296875, 0.7685546875, 0.74267578125, 0.74267578125, 0.84326171875, 0.84326171875, 0.7705078125, 0.7705078125, 0.8359375, 0.595703125, 0.734375, 0.6923828125, 0.6962890625, 0.7265625, 0.61328125]","{'poor scholar teacher': 0.59892578125, 'poor scholar friend': 0.63134765625, 'arrogant wife': 0.5830078125, 'poor scholar friend (bird)': 0}"
